,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Sticking,Panel,Options
10,TS2060,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2060.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2060-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2060-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2060-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
11,TS2070,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2070.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/ts2070-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2070-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2070-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/ts2070-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2070-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2070-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
12,TS2080,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2080.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2080-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2080-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2080-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2080-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
13,TS2090,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2090.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/ts2090-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2090-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2090-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/ts2090-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2090-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2090-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
14,TS2130,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2130.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/ts2130-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2130-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2130-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/ts2130-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2130-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2130-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
15,TS2160,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2160.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2160-pair.png', 'type': 'Pair of Doors'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
16,TS2170,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2170.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2170-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2170-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2170-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
17,TS2180,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2180.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/ts2180-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2180-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2180-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/ts2180-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2180-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2180-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
18,TS2190,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2190.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/ts2190-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2190-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2190-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/ts2190-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2190-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2190-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
19,TS2200,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2200.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2200-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2200-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2200-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
