,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Profiles Options,Other Options
11,FL300,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl300_0.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl300-pair_0.png', 'type': 'Pair of Doors'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
12,FL301,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl301.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl301-pair.png', 'type': 'Pair of Doors'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
13,FL302,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl302.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl302-pair.png', 'type': 'Pair of Doors'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
14,FL304,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl304.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl304-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl304-cap.png', 'type': 'Common Arch Pair'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
15,FL305,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl305.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/fl305-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl305-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl305-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/fl305-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
16,FL306,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl306.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/fl306-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl306-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl306-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/fl306-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']",['Wood']
17,FL310,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl310.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl310-pair.png', 'type': 'Pair of Doors'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
18,FL314,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl314.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl314-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl314-cap.png', 'type': 'Common Arch Pair'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
19,FL315,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl315.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/fl315-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl315-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl315-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/fl315-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
20,FL316,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl316.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/fl316-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl316-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl316-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/fl316-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
