,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Profiles Options,Other Options
11,TMB2030,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb2030.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/tmb2030-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb2030-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/tmb2030-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/tmb2030-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb2030-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb2030-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,100","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
12,TMB2050,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb2050.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb2050-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb2050-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb2050-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,101","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
13,TMB2080,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb2080.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb2080-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb2080-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb2080-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,102","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",['Wood']
14,TMB3000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb3000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb3000-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb3000-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb3000-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,103","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",['Wood']
15,TMB3010,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb3010.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb3010-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb3010-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb3010-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,104","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
16,TMB3020,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb3020.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb3020-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb3020-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb3020-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,105","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
17,TMB4250,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb4250.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb4250-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb4250-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb4250-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,106","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
18,TMB4300,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb4300.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb4300-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb4300-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb4300-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,107","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
19,TMB5200,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb5200.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb5200-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb5200-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb5200-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,108","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
20,TMB6110,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb6110.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb6110-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb6110-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb6110-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,109","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
21,TMB6120,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb6120.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb6120-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb6120-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb6120-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,110","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
22,TMB8000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb8000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb8000-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb8000-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb8000-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,111","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
