collctions,collctions-href,details,details-href,image1-src,image2-src,finshihoptions-src,description1,description2,technical,productcodes
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/atomic-knob","","","","","","",""
"Hinges","http://emtek.com/door-hinges","","http://emtek.com/Door-Hinges/hd-ball-312-14r-ss-hinge","","","http://emtek.com/finishes/StainlessSteel.jpg","","","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/stainless-steel-paper-holder-spring-rod-style","","","","- Sold as complete set. Includes screws
- For pricing information, contact any EMTEK® dealer","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-10-keyed-6","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","http://emtek.com/rosettes/RO_21_Brass_Square_US15.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","","","","","Modern Rectangular Rosette Style:
Passage Set - 5112
Privacy Set - 5212
Dummy, Pair - 5052"
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/brass-metric-knob","","http://emtek.com/products/cabinet_knobs/CK_33_Brass_Metric_CabinetKnob_US15.jpg","","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-square-crystal","","","","","","","Passage Set - 5107 
Privacy Set - 5207 
Dummy, Pair - 5057"
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/button-tips","","","http://emtek.com/finishes/US7_Finish.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed","","","","- Can be ordered with any Brass Levers
 - Swinging Patio Door Hardware. Set includes Plates, Handles, and Cylinder
 - Multi Point Mortise Lock Box not included. Trims Only
 - For pricing information, contact any EMTEK® dealer
 
 *Geneva Lever can be used in single door application only.","","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/stainless-steel-towel-ring","","","http://emtek.com/rosettes/RO_08_SS_Disk.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/bern-knob","","","","","Technical Specifications","",""
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/cylinder-floor-bumper","","http://emtek.com/products/door_accessories/DA_159_Cylinder_Floor_Bumper_US10B.jpg","","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/octagon-knob","","","http://emtek.com/rosettes/RO_13_Brass_Neos_US15.jpg","","","",""
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/brass-ring-knob","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/stainless-steel-towel-ring","","","","- Sold as complete set. Includes screws
- For pricing information, contact any EMTEK® dealer","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-10-keyed-418","","","http://emtek.com/levers/LV_28_Helios_US10B.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/bern-knob","","","","","","Technical Specifications",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/10-stainless-steel-stretto-concord-nonkeyed","","","","","Dummy, Single Sided: 9041","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/aireon-lever","","","","","Upgrade to CF Mechanism","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/bristol-crystal","","http://emtek.com/products/passage_privacy_knobs/Modern_Brass_Bristol_Disk_US14.jpg","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-poseidon-lever","","","http://emtek.com/rosettes/RO_12_Brass_Modern_US26.jpg","","","",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/carbon-fiber-black-bar-pull","","","","","","","3” C-to-C: 86376"
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/stainless-steel-paper-holder-spring-rod-style","","","http://emtek.com/finishes/StainlessSteel.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/modern-push-plate","","","","","","",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/brass-trinity-pull","","http://emtek.com/products/cabinet_pulls/CP_70_Brass_Trinity_CabinetPull_ALL.jpg","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-poseidon-lever","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/octagon-knob","","","","","","","Disk Rosette Style:
 Passage Set - 5109
 Privacy Set - 5209
 Dummy, Pair - 5059"
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-providence-crystal-knob","","","http://emtek.com/finishes/US10B_Finish.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-zeus-pull","","","","","","","8"" Pull 
86183"
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-nonkey-euro","","","http://emtek.com/finishes/US15_Finish.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-nonkey-418","","","http://emtek.com/levers/LV_52_Sion_US26.jpg","","","",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/11-stainless-steel-stretto-keyed","","http://emtek.com/products/sideplates/SP_68_11_Stretto_SS_Entry.jpg","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-athena-lever","","","","","Technical Specifications","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/hampton-crystal-knob","","","","","","","Disk Rosette Style:
Passage Set - 5109 
Privacy Set - 5209 
Dummy, Pair - 5059"
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/atomic-knob","","","http://emtek.com/finishes/US10B_Finish.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-knoxville-pull","","","http://emtek.com/finishes/US7_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-square-crystal","","","http://emtek.com/finishes/US4_Finish.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/ss-baden","","","","","","Supplied with:   
- Both 1/4""-20 Screws and #10-32 Screws  
- Adapter for #10-32 Thread   
- 2 Threaded Washers 
- 2 Decorative Caps 
- Two 2"" #10-32 Machine Screws",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/orb-knob","","","","","","","Disk Rosette Style:
 Passage Set - 5109
 Privacy Set - 5209
 Dummy, Pair - 5059"
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/cylinder-floor-bumper","","","","","","Technical Specification",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-nonkey-euro","","","http://emtek.com/levers/LV_09_Basel_US26.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-nonkey-358","","","http://emtek.com/levers/LV_37_Mercury_US26.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-418","","","","- Can be ordered with any Brass Levers
 - Swinging Patio Door Hardware. Set includes Plates, Handles, and Cylinder
 - Multi Point Mortise Lock Box not included. Trims Only
 - For pricing information, contact any EMTEK® dealer
 
 *Geneva Lever can be used in single door application only.","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-hermes-lever","","","http://emtek.com/rosettes/RO_21_Brass_Square_US15.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-knoxville-pull","http://emtek.com/products/door_pulls/DP_01_Knoxville_DoorPull_US7.jpg","","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","http://emtek.com/products/passage_privacy_levers/LV_28_Helios_Neos_US10B.jpg","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","","","","Technical Specifications",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-nonkey-358","","","http://emtek.com/levers/LV_56_Triton_US15.jpg","","","",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/10-stainless-steel-stretto-concord-nonkeyed","","","","","","- Narrow 1-1/4"" Door Preps, 3-3/8"" C-to-C Hole Spacing
- 28 Degree Latch available in 2-3/8"" backset. Specify 2-3/4"" backset if required.
- Handing required for Leverset",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/ss-baden","","","","","","Drilled and Tapped with 1/4""-20 Thread",""
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/bezier-cabinet-knob","","","","","","Technical Specification",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/11-stainless-steel-stretto-keyed","","","","","","- Narrow 1-1/4"" Door Preps, 3-3/8"" C-to-C Hole Spacing
- 28 Degree Latch available in 2-3/8"" backset. Specify 2-3/4"" backset if required.
- Handing required for Leverset",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-hercules-lever","","http://emtek.com/products/passage_privacy_levers/LV_25_Hercules_Square_US26.jpg","","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/orb-knob","","http://emtek.com/products/passage_privacy_knobs/KB_35_Orb_Disk_US10B.jpg","","","","",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/11-stainless-steel-stretto-keyed","","","http://emtek.com/levers/LV_53_Stuttgart_SS.jpg","","","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/stainless-steel-single-hook","","","http://emtek.com/finishes/StainlessSteel.jpg","","","",""
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/brass-cone-knob","","http://emtek.com/products/cabinet_knobs/CK_16_Brass_Cone_CabinetKnob_US15.jpg","","","","",""
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/4-dutch-door-bolt","","","http://emtek.com/finishes/US3_Finish.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed","","","http://emtek.com/levers/LV_28_Helios_US10B.jpg","","","",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/11-stainless-steel-stretto-keyed","","","","","","","Passage: 9444"
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-disc-crystal","","","","","Technical Specifications","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-euro","","","http://emtek.com/finishes/US15_Finish.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed","","","http://emtek.com/levers/LV_26_Hermes_US10B.jpg","","","",""
"Cabinet Appliance Pulls","http://emtek.com/cabinet-appliance-pulls","","http://emtek.com/Cabinet-Appliance-Pulls/trail-appliance-pull","","","","","","","12"" C-C: 86440"
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-418","","","http://emtek.com/levers/LV_46_Poseidon_US10B.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-disc-crystal","","","http://emtek.com/finishes/US15_Finish.jpg","","","",""
"Hinges","http://emtek.com/door-hinges","","http://emtek.com/Door-Hinges/hd-ball-312-14r-ss-hinge","http://emtek.com/products/door_hinges/SS_BALL_Hinge_312_14Radius.jpg","","","","","",""
"Cabinet Appliance Pulls","http://emtek.com/cabinet-appliance-pulls","","http://emtek.com/Cabinet-Appliance-Pulls/trinityappliancepull","","","http://emtek.com/finishes/US19_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/bristol-crystal","","","http://emtek.com/rosettes/RO_13_Brass_Neos_US15.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-stuttgart-lever","","","","","Disk Rosette Style:
 Passage Set - 5109
 Privacy Set - 5209
 Dummy, Pair - 5059","",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/brass-arch-pull","","","http://emtek.com/finishes/US15_Finish.jpg","","","",""
"Hinges","http://emtek.com/door-hinges","","http://emtek.com/Door-Hinges/residential-plain-312-14r-ss-hinge","","","","","","Technical Specification",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-wilshire-pull","","","","- May be used separately or with pull plates
- For pricing information, contact any EMTEK® dealer","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/geneva-lever","","http://emtek.com/products/passage_privacy_levers/LV_21_Geneva_Square_US15.jpg","","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-euro","","","http://emtek.com/levers/LV_28_Helios_US10B.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/hampton-crystal-knob","","","http://emtek.com/finishes/US15_Finish.jpg","","","",""
"Cabinet Appliance Pulls","http://emtek.com/cabinet-appliance-pulls","","http://emtek.com/Cabinet-Appliance-Pulls/brass-spindle-appliance-pull","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-providence-crystal-knob","","","http://emtek.com/rosettes/Modern_Rectangular_US10B.jpg","","","",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/10-stainless-steel-stretto-concord-nonkeyed","","","http://emtek.com/levers/LV_14_Cologne_SS.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/basel-lever","","","","","","","Disk Rosette Style: 
Passage Set - 5109
 Privacy Set - 5209
 Dummy, Pair - 5059"
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/octagon-knob","","","","","Technical Specifications","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/ss-zeus","","","","","","Installation Manual",""
"Cabinet Appliance Pulls","http://emtek.com/cabinet-appliance-pulls","","http://emtek.com/Cabinet-Appliance-Pulls/tuscany-fluted-bronze-appliance-pull","","","http://emtek.com/finishes/FB_Finish.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/geneva-lever","","","","","","","Upgrade to CF Mechanism by adding ""C"" in front of the product code. 
For example: C5111"
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/bauhaus-pull","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Hinges","http://emtek.com/door-hinges","","http://emtek.com/Door-Hinges/hd-ball-312-14r-ss-hinge","","http://emtek.com/products/door_hinges/SS_BALL_Hinge_312_14Radius.jpg","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-hercules-lever","","","","","","","Modern Rectangular Rosette Style:
Passage Set - 5112
Privacy Set - 5212
Dummy, Pair - 5052"
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-10-keyed-418","","","","","","Technical Specification",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/bezier-cabinet-pull","","http://emtek.com/products/cabinet_pulls/CP_195_Bezier_Pull_Group.jpg","","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/ss-baden","","","","- May be used separately or with pull plates
- For pricing information, contact any EMTEK® dealer","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","","","Technical Specifications","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/stainless-steel-towel-bar","","","","","","","18"" Towel Bar S7010 
24"" Towel Bar S7020 
30"" Towel Bar S7030"
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/octagon-knob","","","","","","","Modern Rosette Style:
 Passage Set - 5107
 Privacy Set - 5207
 Dummy, Pair - 5057"
"Cabinet Appliance Pulls","http://emtek.com/cabinet-appliance-pulls","","http://emtek.com/Cabinet-Appliance-Pulls/brass-bar-appliance-pull","","","http://emtek.com/finishes/US15_Finish.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-wilshire-pull","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-418","","","http://emtek.com/levers/LV_01_Aireon_US15.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-knoxville-pull-plate","","","","","","Installation Manual

Technical Specification",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-zeus-pull","","","","","","Technical Specification",""
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/4-dutch-door-bolt","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/concealed-screw-surface-bolts","","","","","","","8"" Concealed Screw Surface Bolt: 8529"
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","http://emtek.com/finishes/US19_Finish.jpg","","","",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/11-stainless-steel-stretto-nonkeyed","","","http://emtek.com/knobs/KB_42_SSRound.jpg","","","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-towel-ring","","","http://emtek.com/rosettes/RO_40_Brass_Small_Disc_US26.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-wilshire-pull","","","http://emtek.com/finishes/US7_Finish.jpg","","","",""
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/cylinder-floor-bumper","","","","","","","1-1/2"" Cylinder Floor Bumper: 2257"
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-double-hook-with-rosette-option","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/octagon-knob","","","","","Disk Rosette Style:
 Passage Set - 5109
 Privacy Set - 5209
 Dummy, Pair - 5059","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-hercules-lever","","","http://emtek.com/rosettes/RO_21_Brass_Square_US15.jpg","","","",""
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/brass-metric-knob","","http://emtek.com/products/cabinet_knobs/CK_33_Brass_Metric_CabinetKnob_US10B.jpg","","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/ss-zeus","","http://emtek.com/products/door_pulls/DP_43_Zeus_Door_Pull_SS.jpg","","","","",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/brass-finger-pull","","http://emtek.com/products/cabinet_pulls/CP_22_Brass_Finger_CabinetPull_US26.jpg","","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/round-knob","","","http://emtek.com/rosettes/Modern_Rectangular_US10B.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-athena-lever","","","","","","- Fits any door between 1-3/8"" to 2-1/4"" thick with a 2-1/8"" bore standard door prep
- Standard latch is for 2-3/8"" backset. Specify 2-3/4"" backset if required",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-paper-holder-bar-style","","","http://emtek.com/finishes/US10B_Finish.jpg","","","",""
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/door-bell-contemporary","","","","Supplied with matching screws and lighted buttons 
For pricing information contact any EMTEK® dealer","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-nonkey-358","","","http://emtek.com/levers/LV_01_Aireon_US15.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-10-keyed-6","","","http://emtek.com/levers/LV_35_Luzern_US10B.jpg","","","",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/10-stainless-steel-stretto-concord-nonkeyed","","","http://emtek.com/finishes/StainlessSteel.jpg","","","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-towel-bar","","","http://emtek.com/finishes/US14_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/round-knob","","","","","","- Fits any door between 1-3/8"" to 2-1/4"" thick with a 2-1/8"" bore standard door prep
- Standard latch is for 2-3/8"" backset. Specify 2-3/4"" backset if required",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/brass-trinity-pull","","","","","","","3"" C-to-C: 86263 
3-1/2"" C-to-C: 86264 
4"" C-to-C: 86265 
6"" C-to-C: 86266
8"" C-to-C: 86438
10"" C-to-C: 86267"
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","http://emtek.com/rosettes/RO_09_Brass_Disk_US10B.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-418","","","http://emtek.com/levers/LV_09_Basel_US26.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/octagon-knob","","","http://emtek.com/finishes/US19_Finish.jpg","","","",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/brass-bar-pull","","","","","","","3"" C-to-C: 86358 
3-1/2"" C-to-C: 86359 
4"" C-to-C: 86360 
5"" C-to-C: 86361 
6"" C-to-C: 86362 
8"" C-to-C: 86363 
10"" C-to-C: 86364 
12"" C-to-C: 86365 
16"" C-to-C: 86366 
24"" C-to-C: 86367"
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-square-crystal","","","","","","","Modern Rectangular Rosette Style:
Passage Set - 5112
Privacy Set - 5212
Dummy, Pair - 5052"
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-knoxville-pull","","","","","","Supplied with:  
- Both 1/4""-20 Screws and #10-32 Screws 
- Adapter for #10-32 Thread
- 2 Threaded Washers
- 2 Decorative Caps 
- Two 2"" #10-32 Machine Screws",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/orb-knob","","http://emtek.com/products/passage_privacy_knobs/Brass_Knob_Orb_Rectangular_US26.jpg","","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/round-knob","","","http://emtek.com/finishes/US19_Finish.jpg","","","",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/10-stainless-steel-stretto-keyed","","","http://emtek.com/levers/LV_53_Stuttgart_SS.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","","","","","Square Rosette Style:
 Passage Set - 5110
 Privacy Set - 5210
 Dummy, Pair - 5050"
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-double-hook-with-rosette-option","","","http://emtek.com/finishes/US19_Finish.jpg","","","",""
"Cabinet Appliance Pulls","http://emtek.com/cabinet-appliance-pulls","","http://emtek.com/Cabinet-Appliance-Pulls/trail-appliance-pull","http://emtek.com/products/cabinet_appliance_pulls/Trail__Appliance_PolishedNickel%20copy.jpg","","","","","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-towel-bar","","","","","","","18"" Towel Bar
28021

24"" Towel Bar
28022

30"" Towel Bar
28023"
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-baden-pull","","","","","","Technical Specification",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/bern-knob","","","","","","","Neos Rosette Style: 
Passage Set - 5111 
Privacy Set - 5211 
Dummy, Pair - 5051"
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-towel-bar","","","http://emtek.com/rosettes/RO_40_Brass_Small_Disc_US26.jpg","","","",""
